기온분석,,,,,,,,
[검색조건],,,,,,,,
자료구분 : 계절,,,,,,,,
자료형태 : 기본,,,,,,,,
지역/지점 : 포항,,,,,,,,
기간 : 2010~2023,,,,,,,,
,,,,,,,,
년계절,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃),,,,
2010,138,25.7,22.6,29.4,,,,
2011,138,24.7,21.9,28.2,,,,
2012,138,24.9,22.3,28.2,,,,
2013,138,26.4,23.2,30.4,,,,
2014,138,23.8,21.1,26.9,,,,
2015,138,23.8,20.9,27.4,,,,
2016,138,25.4,22.5,28.9,,,,
2017,138,25.1,22.1,28.8,,,,
2018,138,26.1,22.9,29.6,,,,
2019,138,24.9,22.1,28.2,,,,
2020,138,25,22,28.6,,,,
2021,138,24.9,22.3,27.8,,,,
2022,138,25.6,22.7,29.2,,,,
2023,138,25.6,22.7,29.2,,,,"			2023"
"			",,,,,,,,
